Subsystem,Req_ID,Description,Verification_Method,Implemented_File,Test_File,Status
ACAS,ACAS-018,ACASAdvisory SHALL publicarse en /acas/advisory a ≥ 10 Hz con reliability=RELIABLE.,acas_node.py — publisher /acas/advisory.,,,GAP
ACAS,ACAS-019,ACASAdvisory.advisory SHALL contener el advisory actual como enumerado.,flightmind_msgs/ACASAdvisory.msg,src/flightmind_msgs/msg/ACASAdvisory.msg,,PARTIAL
ACAS,ACAS-020,ACASAdvisory.ra_active SHALL ser True cuando hay RA activa (advisory ≠ COC).,flightmind_msgs/ACASAdvisory.msg,src/flightmind_msgs/msg/ACASAdvisory.msg,,PARTIAL
ACAS,ACAS-021,"ACASAdvisory SHALL incluir: threat_class (HEAD_ON/OVERTAKE/CROSSING/GENERIC), time_to_cpa_s, horizontal_miss_dist_m.",flightmind_msgs/ACASAdvisory.msg,src/flightmind_msgs/msg/ACASAdvisory.msg,,PARTIAL
ACAS,ACAS-022,El tiempo entre recepción del estado del intruso y publicación del advisory SHALL ser < 50ms.,"Pendiente implementación .nnet. Benchmark de inferencia. Verificación TCs: activación con rho < threshold, COC default, factibilidad",,,GAP
ACAS,ACAS-023,"La suite SHALL incluir: TC de activación con rho sintético, TC de COC sin amenaza, TC de advisory infactible rechazado.",Pendiente implementación .nnet.,,,GAP
AIR,AIR-001,El monitor SHALL usar PolyCARP para verificar contención en polígonos.,upnext_airspace — PolyCARP.,src/upnext_airspace/upnext_airspace/airspace_monitor_node.py,,PASS
AIR,AIR-002,PolyCARP SHALL calcular la distancia mínima al borde de cada NFZ activa.,airspace_monitor_node.py — distanceToPolygon().,src/upnext_airspace/upnext_airspace/airspace_monitor_node.py,,PARTIAL
AIR,AIR-003,El monitor SHALL detectar si la posición actual está dentro de una NFZ.,airspace_monitor_node.py — inside_nfz check.,,,PARTIAL
AIR,AIR-004,Las NFZ SHALL definirse en GeoJSON estándar.,upnext_airspace — GeoJSON loader.,nfz_zones.geojson,,PASS
AIR,AIR-005,El cargador SHALL soportar Polygon.,airspace_monitor_node.py.,,,PASS
AIR,AIR-006,El cargador SHALL soportar MultiPolygon.,airspace_monitor_node.py — MultiPolygon. Propiedades 3D y altitud : AIRSPACE MONITOR,,,PARTIAL
AIR,AIR-007,Cada Feature SHALL poder incluir alt_min_m.,GeoJSON — alt_min_m.,,,PARTIAL
AIR,AIR-008,Cada Feature SHALL poder incluir alt_max_m.,GeoJSON — alt_max_m.,,,PARTIAL
AIR,AIR-009,La vigilancia SHALL considerar alt_min y alt_max.,airspace_monitor_node.py — 3D containment. Identificadores y clasificación,,,PARTIAL
AIR,AIR-010,Cada Feature SHALL incluir zone_id único.,"GeoJSON — zone_id. Propiedad zone_class: NFZ_GENERIC, CTR, DANGER,",,,PARTIAL
AIR,AIR-011,Cada Feature SHALL incluir zone_class ICAO.,GeoJSON — zone_class. Vigilancia y alerting,,,GAP
AIR,AIR-012,La proyección SHALL calcularse linealmente.,airspace_monitor_node.py — linear projection.,src/upnext_airspace/upnext_airspace/airspace_monitor_node.py,,PASS
AIR,AIR-013,El horizonte de predicción SHALL ser configurable.,config/airspace_params.yaml.,config/,,PASS
AIR,AIR-014,violation_imminent=True SHALL publicarse cuando la trayectoria cruzará una NFZ.,TC-FAULT-009.,src/upnext_airspace/upnext_airspace/airspace_monitor_node.py,src/mission_fsm/test/m10_e2e_faults/test_e2e_faults.py,PASS
AIR,AIR-015,inside_nfz=True SHALL publicarse cuando hay violación activa.,airspace_monitor_node.py. GeofenceStatus publicado a ≥ 10 Hz en,,,PARTIAL
AIR,AIR-016,GeofenceStatus SHALL publicarse con todos los campos a 10 Hz.,airspace_monitor_node.py — /polycarp/geofence_status.,src/upnext_airspace/upnext_airspace/airspace_monitor_node.py,,PARTIAL
AIR,AIR-017,GeofenceStatus SHALL usar RELIABLE.,airspace_monitor_node.py.,,,GAP
AIR,AIR-018,time_to_violation_s SHALL calcularse como distancia al borde dividida por velocidad.,airspace_monitor_node.py.,,,PARTIAL
AIR,AIR-019,nearest_nfz_dist_m SHALL ser la distancia mínima a cualquier NFZ activa.,airspace_monitor_node.py. : AIRSPACE MONITOR NFZ dinámicas y temporales,,,GAP
AIR,AIR-020,SHALL existir servicio de actualización dinámica.,TC-NAV-008 — XFAIL.,,src/mission_fsm/test/m7_nav2/test_nav2_interface.py,GAP
AIR,AIR-021,NFZ con ventana temporal SHALL activarse/desactivarse automáticamente.,airspace_monitor_node.py — temporal_scheduler.,,,GAP
AIR,AIR-022,Violación inminente de CTR SHALL generar alerta diferenciada.,airspace_monitor_node.py — CTR alert.,,,GAP
AIR,AIR-023,El nodo SHALL cargar el GeoJSON configurado al arranque.,airspace_monitor_node.py — startup load.,src/upnext_airspace/upnext_airspace/airspace_monitor_node.py,,PASS
C2,C2-001,El nodo SHALL detectar pérdida de C2 en < 2s desde la última comunicación válida.,c2_monitor_node.py — heartbeat timeout.,,,GAP
C2,C2-002,El timeout SHALL ser configurable.,declare_parameter c2_timeout_s.,,,GAP
C2,C2-003,SHALL publicarse inmediatamente c2_lost=True.,c2_monitor_node.py — /fsm/in/c2_lost.,,,GAP
C2,C2-004,SHALL publicarse c2_lost=False al recuperarse.,"c2_monitor_node.py. Procedimiento de contingencia: continuar c2_continue_s, luego",,,GAP
C2,C2-005,Ante pérdida de C2 el FSM SHALL continuar c2_continue_s (default 30s) y luego RTB.,TC-FAULT-004 — XFAIL. ARCH-1.7.,,src/mission_fsm/test/m10_e2e_faults/test_e2e_faults.py,GAP
C2,C2-006,El tiempo de continuación SHALL ser configurable.,mission_fsm_male.yaml — c2_timeout_sec=30. CUBIERTO.,src/mission_fsm/config/mission_fsm.yaml,,PASS
C2,C2-007,El estado del enlace SHALL publicarse a 1 Hz.,c2_monitor_node.py — /c2/status. : ENLACE C2 Protocolo MAVLink 2.0,,,GAP
C2,C2-008,El enlace SHALL usar MAVLink 2.0.,PX4 nativo.,,,GAP
C2,C2-009,El nodo SHALL enviar HEARTBEAT MAVLink cada 1s.,c2_monitor_node.py — heartbeat_sender.,,,GAP
C2,C2-010,"Si no se recibe confirmación de GCS, SHALL publicarse gcs_lost=True.",c2_monitor_node.py — gcs_timeout. XFAIL. ARCH-1.7. Rendimiento y seguridad (HIL),,,GAP
C2,C2-011,La latencia round-trip SHALL ser < 500ms.,Fuera del scope SIL.,,,PARTIAL
C2,C2-012,El enlace SHALL encriptarse con AES-256.,Fuera del scope SIL.,,,PARTIAL
C2,C2-013,Comandos no autenticados SHALL ignorarse y loguearse.,Fuera del scope SIL.,,,PARTIAL
C2,C2-014,SHOULD soportarse canal primario + backup.,Fuera del scope SIL.,,,PARTIAL
DAA,DAA-001,"El sistema SHALL producir alertas en 4 niveles: NONE, FAR (preventiva, time_to_LOS > 55s), MID (correctiva, 35s < time ≤ 55s), NEAR (advertencia, time ≤ 35s o WC ya perdido).",TC-DAI-001..004 — 4 niveles verificados con mock DAIDALUS.,upnext_icarous_daa/daidalus_node.py,src/mission_fsm/test/m5_daidalus/test_daidalus_alerts.py,PASS
DAA,DAA-002,El nivel NONE SHALL publicarse cuando todos los intrusos tienen time_to_LOS > alerting_time_s.,TC-DAI-001 — sin intrusos → NONE.,src/daidalus_node.py,src/mission_fsm/test/m5_daidalus/test_daidalus_alerts.py,PASS
DAA,DAA-003,FAR SHALL activarse cuando 35s < time_to_LOS ≤ alerting_time_s. Requiere toma de conciencia del operador.,TC-DAI-002 — intruso en rango FAR → nivel 1.,src/daidalus_node.py,src/mission_fsm/test/m5_daidalus/test_daidalus_alerts.py,PASS
DAA,DAA-004,MID SHALL activarse cuando time_to_LOS ≤ 35s. Requiere acción correctiva del sistema.,TC-DAI-003 — intruso en rango MID → nivel 2.,src/daidalus_node.py,src/mission_fsm/test/m5_daidalus/test_daidalus_alerts.py,PASS
DAA,DAA-005,NEAR SHALL activarse cuando time_to_LOS ≤ 0s o la distancia horizontal < DMOD. Requiere acción inmediata y escala a ACAS Xu.,TC-DAI-004 — intruso en NEAR → nivel 3 → escalada ACAS.,src/daidalus_node.py,src/mission_fsm/test/m5_daidalus/test_daidalus_alerts.py,PASS
DAA,DAA-006,El parámetro DMOD SHALL tener valor default de 2200ft (670m) y ser configurable en el fichero .conf de DAIDALUS.,config/daidalus_parameters.conf — DMOD.,config/daidalus_parameters.conf,,PARTIAL
DAA,DAA-007,ZTHR SHALL tener valor default de 450ft (137m) y ser configurable en el .conf.,config/daidalus_parameters.conf — ZTHR.,config/daidalus_parameters.conf,,PARTIAL
DAA,DAA-008,TAUMOD SHALL tener valor default de 35s y ser configurable en el .conf.,config/daidalus_parameters.conf — TAUMOD.,config/daidalus_parameters.conf,,PARTIAL
DAA,DAA-009,El horizonte temporal de alerting SHALL ser configurable en el .conf con default 55s.,config/daidalus_parameters.conf — alertingTime.,config/daidalus_parameters.conf,,PARTIAL
DAA,DAA-010,La transición de alerta SHALL ser siempre monotónica en escalada (NONE→FAR→MID→NEAR). No se permiten saltos (NONE→NEAR directamente) salvo con hysteresis configurada.,TC-DAI-005 — escalada gradual verificada.,daidalus_node.py,src/mission_fsm/test/m5_daidalus/test_daidalus_alerts.py,PARTIAL (ARCH-DAI-RECOVERY)
DAA,DAA-011,La desescalada (ej. MID→FAR) SHALL requerir que la condición de nivel inferior se mantenga durante hysteresis_time_s (default 5s) antes de bajar el nivel.,TC-DAI-009 — XFAIL. Histéresis no implementada. ARCH-1.1.,,src/mission_fsm/test/m5_daidalus/test_daidalus_alerts.py,GAP (ARCH-DAI-ADV)
DAA,DAA-012,El sistema SHALL calcular time_to_violation_s (tiempo hasta pérdida de Well-Clear) para cada intruso activo y publicarlo en DaidalusAlert.,DaidalusAlert.msg — time_to_violation_s.,src/flightmind_msgs/msg/DaidalusAlert.msg,,PARTIAL
DAA,DAA-013,El topic /daidalus/alert SHALL publicarse a frecuencia mínima de 10 Hz con QoS RELIABLE.,daidalus_node.py — timer callback a 10Hz.,src/daidalus_node.py,,PARTIAL
DAA,DAA-014,El tiempo total desde cálculo de alerta hasta transición del FSM a EVENT SHALL ser < 100ms P99.,TC-DAI-010 — latencia medida. CUBIERTO.,test/test_m5_daidalus.py,src/mission_fsm/test/m5_daidalus/test_daidalus_alerts.py,PARTIAL (ARCH-DAI-ADV)
DAA,DAA-015,El tiempo de cálculo de alertas y bandas por el motor DAIDALUS SHALL ser < 50ms.,"daidalus_node.py — profiling del motor DAIDALUS. Bandas de resolución (heading, GS, VS) : DAIDALUS DAA",,,PARTIAL
DAA,DAA-016,"El sistema SHALL generar bandas de heading cubriendo los 360° con clasificación por sector: NONE (libre), FAR, MID, NEAR (conflictivo).",DaidalusBands.msg — conflict_bands[] array.,src/flightmind_msgs/msg/DaidalusBands.msg,,PARTIAL
DAA,DAA-017,Las bandas SHALL incluir el recovery_heading_deg: el heading libre más cercano al heading actual del UAS.,DaidalusBands.msg — recovery_heading_deg.,src/flightmind_msgs/msg/DaidalusBands.msg,,PARTIAL
DAA,DAA-018,El recovery_heading_deg SHALL aplicar un margen de safety_margin_deg (default 5°) sobre el límite de la banda libre.,config/daidalus_parameters.conf — safety_margin_deg.,config/daidalus_parameters.conf,,PARTIAL
DAA,DAA-019,"El margen de seguridad SHALL ser configurable en el .conf (default 5°, rango 0-30°).",config/daidalus_parameters.conf.,,,PARTIAL
DAA,DAA-020,El sistema SHALL generar bandas de GS indicando rangos de velocidad conflictivos y el recovery_gs_ms más cercano al GS actual.,"DaidalusBands.msg — gs_bands[], recovery_gs_ms.",src/flightmind_msgs/msg/DaidalusBands.msg,,PARTIAL
DAA,DAA-021,El sistema SHALL generar bandas de VS indicando rangos de climb/descent conflictivos y el recovery_vs_mps más cercano al VS actual.,"DaidalusBands.msg — vs_bands[], recovery_vs_mps.",src/flightmind_msgs/msg/DaidalusBands.msg,,PARTIAL
DAA,DAA-022,Las bandas SHALL publicarse en /daidalus/bands (flightmind_msgs/DaidalusBands) a ≥ 10 Hz.,daidalus_node.py — /daidalus/bands publisher.,src/daidalus_node.py,,PARTIAL
DAA,DAA-023,Las bandas SHALL usar QoS reliability=BEST_EFFORT para no saturar la red.,daidalus_node.py — QoS BEST_EFFORT para /daidalus/bands.,src/daidalus_node.py,,GAP
DAA,DAA-024,Todas las bandas de heading SHALL expresarse en heading absoluto (0-360°) relativo al Norte.,daidalus_node.py — frame NED verificado.,src/daidalus_node.py,,PARTIAL
DAA,DAA-025,"Las bandas de heading/GS/VS SHALL calcularse considerando todos los intrusos activos simultáneamente, no solo el más amenazante.",DAIDALUS API — getBandsFor() considerando lista completa.,src/daidalus_node.py,,PARTIAL
DAA,DAA-026,"El sistema SHALL mantener una lista de todos los intrusos activos con sus estados (posición, velocidad, timestamp de última actualización).",daidalus_node.py — traffic_state_map.,src/daidalus_node.py,,PARTIAL
DAA,DAA-027,"El sistema SHALL publicar un DaidalusAlert individual para cada intruso activo, identificado por intruder_id.",daidalus_node.py — multi-alert publication.,src/daidalus_node.py,,PARTIAL
DAA,DAA-028,El sistema SHALL identificar el intruso con menor time_to_violation_s como primary threat y publicarlo en /daidalus/primary_threat.,daidalus_node.py — primary_threat selector.,src/daidalus_node.py,,PARTIAL
DAA,DAA-029,El máximo de intrusos simultáneos en la lista SHALL ser configurable (default 20).,config/daidalus_parameters.conf — max_intruders.,,,GAP
DAA,DAA-030,Cada intruso SHALL añadirse al motor DAIDALUS usando la API addTrafficState() con los campos de estado completos.,daidalus_node.py — addTrafficState() call.,src/daidalas_node.py,,PARTIAL
DAA,DAA-031,Un intruso sin actualización durante stale_timeout_s SHALL eliminarse de la lista activa.,daidalus_node.py — stale timeout logic.,src/daidalus_node.py,,PARTIAL
DAA,DAA-032,El timeout de expiración SHALL ser configurable como parámetro ROS2.,daidalus_node.py — declare_parameter stale_timeout_s.,,,GAP
DAA,DAA-033,El intruder_id SHALL mantenerse constante entre actualizaciones del mismo intruso para correlación en logs y alertas.,daidalus_node.py — intruder_id mapping.,src/daidalus_node.py,,PARTIAL
DAA,DAA-034,El sistema SHALL aceptar tráfico exclusivamente en formato flightmind_msgs/TrafficIntruder en el topic /traffic/intruders.,flightmind_msgs/TrafficIntruder.msg — interfaz definida.,src/flightmind_msgs/msg/TrafficIntruder.msg,,PARTIAL
DAA,DAA-035,TrafficIntruder.intruder_id SHALL ser un string único por aeronave.,flightmind_msgs/TrafficIntruder.msg,src/flightmind_msgs/msg/TrafficIntruder.msg,,PASS
DAA,DAA-036,"position_ned SHALL contener [North, East, Down] en metros relativos al origen de misión.",flightmind_msgs/TrafficIntruder.msg,src/flightmind_msgs/msg/TrafficIntruder.msg,,PASS
DAA,DAA-037,"velocity_ned SHALL contener [Vn, Ve, Vd] en m/s.",flightmind_msgs/TrafficIntruder.msg,src/flightmind_msgs/msg/TrafficIntruder.msg,,PASS
DAA,DAA-038,"cooperative SHALL indicar si el intruso es cooperativo (ADS-B/transponder) o no cooperativo (radar, EO/IR).",flightmind_msgs/TrafficIntruder.msg,src/flightmind_msgs/msg/TrafficIntruder.msg,,PASS
DAA,DAA-039,source SHALL indicar el tipo de sensor que detectó el intruso.,flightmind_msgs/TrafficIntruder.msg,src/flightmind_msgs/msg/TrafficIntruder.msg,,PARTIAL
DAA,DAA-040,"stamp SHALL ser el timestamp de la medición del sensor, no el de publicación del mensaje.",flightmind_msgs/TrafficIntruder.msg,src/flightmind_msgs/msg/TrafficIntruder.msg,,PARTIAL
DAA,DAA-041,El sistema SHALL procesar intrusos de fuentes ADS-B y transponder como fuentes cooperativas.,daidalus_node.py — ADS-B input handling.,src/daidalus_node.py,,PARTIAL
DAA,DAA-042,El sistema SHALL procesar intrusos de fuentes no cooperativas con el mismo pipeline que los cooperativos.,TrafficIntruder.msg — campo cooperative=false. daidalus_node.py.,src/daidalus_node.py,,PARTIAL
DAA,DAA-043,"DaidalusAlert SHALL incluir alert_level con valores 0=NONE, 1=FAR, 2=MID, 3=NEAR.",flightmind_msgs/DaidalusAlert.msg,src/flightmind_msgs/msg/DaidalusAlert.msg,,PASS
DAA,DAA-044,DaidalusAlert SHALL incluir intruder_id para identificar a qué intruso corresponde la alerta.,flightmind_msgs/DaidalusAlert.msg,src/flightmind_msgs/msg/DaidalusAlert.msg,,PASS
DAA,DAA-045,DaidalusAlert SHALL incluir time_to_violation_s en segundos (negativo si WC ya perdido).,flightmind_msgs/DaidalusAlert.msg,src/flightmind_msgs/msg/DaidalusAlert.msg,,PARTIAL
DAA,DAA-046,DaidalusAlert SHALL incluir la distancia horizontal mínima proyectada en metros.,flightmind_msgs/DaidalusAlert.msg,src/flightmind_msgs/msg/DaidalusAlert.msg,,PARTIAL
DAA,DAA-047,DaidalusAlert SHALL incluir la distancia vertical mínima proyectada en metros.,flightmind_msgs/DaidalusAlert.msg,src/flightmind_msgs/msg/DaidalusAlert.msg,,PARTIAL
DAA,DAA-048,"DaidalusBands SHALL incluir conflict_bands como lista de (heading_start, heading_end, level) en grados.",flightmind_msgs/DaidalusBands.msg,src/flightmind_msgs/msg/DaidalusBands.msg,,PARTIAL
DAA,DAA-049,"DaidalusBands SHALL incluir los tres recovery values: heading más cercano libre, GS más cercano libre, VS más cercano libre.",flightmind_msgs/DaidalusBands.msg,src/flightmind_msgs/msg/DaidalusBands.msg,,PARTIAL
DAA,DAA-050,"El sistema SHALL publicar DaidalusStatus en /daidalus/status incluyendo: daa_active, daa_degraded, fuentes activas, intrusos actuales.",flightmind_msgs/DaidalusStatus.msg.,src/flightmind_msgs/msg/DaidalusStatus.msg,,GAP
DAA,DAA-051,El nivel de alerta global (máximo entre todos los intrusos) SHALL publicarse en /daidalus/alert_level como std_msgs/Int32.,mission_fsm_node.py — suscribe /daidalus/alert_level.,daidalus_node.py,,PASS
DAA,DAA-052,"Cuando alert_level global alcanza NEAR (3), el sistema SHALL publicar daidalus_alert_level=3 para que ACAS Xu active su lógica de emergencia.",TC-DAI-003 — alert NEAR publicado correctamente.,src/daidalus_node.py,src/mission_fsm/test/m5_daidalus/test_daidalus_alerts.py,PASS
DAA,DAA-053,"Si /acas/advisory.ra_active=True, el sistema SHALL marcar recommended_heading_deg=NaN para indicar que ACAS tiene el control de la maniobra.",daidalus_node.py — acas_active subscriber + NaN mask. daidalus_alert_amber param: umbral para daidalus_escalated,,,GAP
DAA,DAA-054,El parámetro daidalus_alert_amber SHALL definir a qué nivel de alerta el FSM activa daidalus_escalated (default 1 = FAR).,mission_fsm_node.py — daidalus_alert_amber param.,src/mission_fsm_node.py,,PASS
DAA,DAA-055,"El núcleo SHALL usar la biblioteca DAIDALUS v2 de NASA Langley, accedida via libTrafficMonitor.so.",upnext_icarous_daa — libTrafficMonitor.so.,src/upnext_icarous_daa/CMakeLists.txt,,PASS
DAA,DAA-056,"El motor DAIDALUS SHALL recibir el estado propio (posición, velocidad, heading) desde /navigation/state en cada ciclo.",daidalus_node.py — navigation_state subscriber.,src/daidalus_node.py,,PASS
DAA,DAA-057,"Todos los parámetros DAIDALUS SHALL estar en un .conf versionado en git, no embebidos en código Python.",config/daidalus_parameters.conf en git.,src/upnext_icarous_daa/config/,,PARTIAL
DAA,DAA-058,"Todos los parámetros DAIDALUS SHALL poder modificarse editando el .conf y reiniciando el nodo, sin recompilación.",daidalus_node.py — carga .conf al startup.,src/daidalus_node.py,,PARTIAL
DAA,DAA-059,"Si no se recibe ningún mensaje en /traffic/intruders durante traffic_timeout_s (default 5s), daa_degraded SHALL activarse y publicarse.",TC-DAI-006 — XFAIL. Feed timeout no implementado.,,src/mission_fsm/test/m5_daidalus/test_daidalus_alerts.py,GAP
DAA,DAA-060,"Si source_count=0 y no hay modo degradado alternativo, el sistema SHALL publicar alert_level=NEAR y daa_degraded=True.",daidalas_node.py — source_count monitor.,,,GAP
DAA,DAA-061,El sistema SHALL poder operar usando solo sensores propios cuando no hay feed ADS-B.,TC-DAI-008 — XFAIL.,,src/mission_fsm/test/m5_daidalus/test_daidalus_alerts.py,GAP (ARCH-DAI-FEED)
DAA,DAA-062,El sistema SHALL registrar (INFO) cada evento de pérdida y recuperación del feed de tráfico con timestamp.,daidalus_node.py — feed_status logging. Verificación : DAIDALUS DAA,,,GAP
DAA,DAA-063,SHALL existir al menos un TC para cada nivel de alerta con un intruso sintético en la posición correspondiente.,TC-DAI-001..004.,test/test_m5_daidalus.py,src/mission_fsm/test/m5_daidalus/test_daidalus_alerts.py,PASS
DAA,DAA-064,SHALL existir un TC que mida la latencia total alerta→FSM y falle si > 100ms.,TC-DAI-010.,test/test_m5_daidalus.py,src/mission_fsm/test/m5_daidalus/test_daidalus_alerts.py,PARTIAL (ARCH-DAI-ADV)
DAA,DAA-065,SHALL existir un TC que verifique daa_degraded=True tras traffic_timeout_s sin mensajes.,TC-DAI-006 — XFAIL.,,src/mission_fsm/test/m5_daidalus/test_daidalus_alerts.py,GAP
FDIR,FDIR-001,"El FDIR SHALL monitorizar los datos del IMU (acelerómetro 3-axis, giróscopo 3-axis) con detección por timeout y rango físico.",fdir_node.py — imu_monitor.,src/fdir/fdir/fdir_node.py,,PARTIAL
FDIR,FDIR-002,"Si no se recibe mensaje IMU durante imu_timeout_ms (default 100ms), SHALL generarse fault event CRITICAL.",fdir_node.py — imu_timeout_monitor.,src/fdir/fdir/fdir_node.py,,PARTIAL
FDIR,FDIR-003,"Una aceleración fuera del rango [-98m/s², +98m/s²] en cualquier eje SHALL generar fault CRITICAL.",fdir_node.py — imu_range_check.,src/fdir/fdir/fdir_node.py,,PARTIAL
FDIR,FDIR-004,"El FDIR SHALL monitorizar el GPS por timeout (default 500ms) y calidad (PDOP, número de satélites).",fdir_node.py — gps_monitor.,src/fdir/fdir/fdir_node.py,,PARTIAL
FDIR,FDIR-005,Si el PDOP supera pdop_threshold SHALL generarse fault MEDIUM.,fdir_node.py — pdop_check. : FDIR Detección de pérdida de GPS: < min_satellites (default 6),,,GAP
FDIR,FDIR-006,"Si el número de satélites tracked cae por debajo de min_satellites, SHALL generarse fault HIGH.",fdir_node.py — satellite_count_check.,,,GAP
FDIR,FDIR-007,El FDIR SHALL monitorizar el barómetro por timeout (default 200ms) y rango (altitud entre -500m y 10000m).,fdir_node.py — baro_monitor.,,,GAP
FDIR,FDIR-008,El FDIR SHALL monitorizar el magnetómetro por timeout y coherencia con el giróscopo.,fdir_node.py — mag_monitor.,,,GAP
FDIR,FDIR-009,"Si la plataforma incluye LiDAR, SHALL monitorizarse por timeout (default 500ms).",fdir_node.py — lidar_monitor (condicional por plataforma).,,,GAP
FDIR,FDIR-010,"Si la plataforma expone telemetría ESC, SHALL monitorizarse RPM por motor con umbral > 110% o < 50% de nominal.",fdir_node.py — esc_telemetry_monitor.,,,GAP
FDIR,FDIR-011,El FDIR SHALL monitorizar el enlace RC/C2 por timeout (default 2s) y publicar c2_link_lost.,fdir_node.py — c2_timeout_monitor. Consistencia entre fuentes redundantes: desacuerdo >,,,GAP
FDIR,FDIR-012,"Si dos fuentes del mismo tipo (p.ej. dos IMU, dos GPS) difieren en más de consistency_threshold, SHALL generarse fault HIGH.",fdir_node.py — consistency_check (para plataformas con sensores redundantes). : FDIR,,,GAP
FDIR,FDIR-013,El FDIR SHOULD analizar el espectro de frecuencias del acelerómetro para detectar vibraciones asociadas a desequilibrio de rotor.,fdir_node.py — FFT vibration analysis. Pendiente HIL. Clasificación y tabla de severidades,,,GAP
FDIR,FDIR-014,"Cada fault event SHALL clasificarse en: LOW (log+telemetría), MEDIUM (degradar quality_flag), HIGH (activar RTB), CRITICAL (activar ABORT).",TC-FDIR-010 — XFAIL. Tabla de severidad pendiente.,src/fdir/fdir/fdir_node.py,src/mission_fsm/test/m6_fdir/test_fdir.py,GAP
FDIR,FDIR-015,"La asignación de sensor_id → severity SHALL estar en un YAML externo, no hardcodeada en Python.",config/fdir_severity_table.yaml.,,,GAP
FDIR,FDIR-016,El nodo SHALL cargar fdir_severity_table.yaml al arranque y validar que todos los sensores monitorizados tienen severidad asignada.,"fdir_node.py — _load_severity_table(). Políticas de respuesta por severidad Política LOW: log INFO y publicar en active_faults, no",,,GAP
FDIR,FDIR-017,Fallos LOW SHALL loguearse y añadirse a active_faults sin afectar quality_flag ni activar contingencias.,fdir_node.py — LOW policy. : FDIR Política MEDIUM: reducir quality_flag según tabla de,,,GAP
